step,K,U,E
1020,0.0022437102,-0.0395197986,-0.0372760884
1021,0.0022484475,-0.0395241893,-0.0372757419
1022,0.0022531909,-0.0395291366,-0.0372759457
1023,0.0022579402,-0.0395327454,-0.0372748052
1024,0.0022626955,-0.0395380281,-0.0372753326
1025,0.0022674570,-0.0395426264,-0.0372751694
1026,0.0022722245,-0.0395472508,-0.0372750263
1027,0.0022769982,-0.0395525243,-0.0372755261
1028,0.0022817780,-0.0395573728,-0.0372755947
1029,0.0022865640,-0.0395621315,-0.0372755675
1030,0.0022913560,-0.0395667365,-0.0372753805
1031,0.0022961541,-0.0395718877,-0.0372757336
1032,0.0023009585,-0.0395766806,-0.0372757221
1033,0.0023057689,-0.0395818759,-0.0372761070
1034,0.0023105856,-0.0395865344,-0.0372759488
1035,0.0023154084,-0.0395911810,-0.0372757726
1036,0.0023202373,-0.0395959863,-0.0372757490
1037,0.0023250723,-0.0396012741,-0.0372762017
1038,0.0023299136,-0.0396059588,-0.0372760452
1039,0.0023347610,-0.0396112233,-0.0372764623
1040,0.0023396147,-0.0396159599,-0.0372763452
1041,0.0023444745,-0.0396204992,-0.0372760248
1042,0.0023493404,-0.0396258072,-0.0372764667
1043,0.0023542126,-0.0396306021,-0.0372763894
1044,0.0023590910,-0.0396358017,-0.0372767107
1045,0.0023639756,-0.0396404864,-0.0372765108
1046,0.0023688664,-0.0396453193,-0.0372764530
1047,0.0023737632,-0.0396498015,-0.0372760383
1048,0.0023786662,-0.0396543431,-0.0372756769
1049,0.0023835754,-0.0396597055,-0.0372761302
1050,0.0023884908,-0.0396643945,-0.0372759037
1051,0.0023934124,-0.0396690622,-0.0372756498
1052,0.0023983402,-0.0396744344,-0.0372760942
1053,0.0024032743,-0.0396791583,-0.0372758840
1054,0.0024082145,-0.0396834163,-0.0372752018
1055,0.0024131609,-0.0396880001,-0.0372748392
1056,0.0024181134,-0.0396928380,-0.0372747246
1057,0.0024230722,-0.0396982211,-0.0372751489
1058,0.0024280372,-0.0397029102,-0.0372748729
1059,0.0024330086,-0.0397082687,-0.0372752601
1060,0.0024379862,-0.0397129046,-0.0372749185
1061,0.0024429700,-0.0397181447,-0.0372751747
1062,0.0024479602,-0.0397228242,-0.0372748641
1063,0.0024529566,-0.0397283187,-0.0372753621
1064,0.0024579594,-0.0397330037,-0.0372750443
1065,0.0024629684,-0.0397383397,-0.0372753713
1066,0.0024679837,-0.0397430473,-0.0372750636
1067,0.0024730053,-0.0397484442,-0.0372754388
1068,0.0024780333,-0.0397532048,-0.0372751715
1069,0.0024830675,-0.0397585486,-0.0372754811
1070,0.0024881081,-0.0397632825,-0.0372751744
1071,0.0024931550,-0.0397685604,-0.0372754055
1072,0.0024982082,-0.0397733138,-0.0372751056
1073,0.0025032677,-0.0397784935,-0.0372752258
1074,0.0025083335,-0.0397834180,-0.0372750845
1075,0.0025134057,-0.0397886752,-0.0372752695
1076,0.0025184843,-0.0397936923,-0.0372752080
1077,0.0025235692,-0.0397987142,-0.0372751451
1078,0.0025286604,-0.0398035411,-0.0372748807
1079,0.0025337579,-0.0398087860,-0.0372750281
1080,0.0025388619,-0.0398136431,-0.0372747812
1081,0.0025439722,-0.0398191854,-0.0372752132
1082,0.0025490889,-0.0398243045,-0.0372752156
1083,0.0025542120,-0.0398293618,-0.0372751498
1084,0.0025593415,-0.0398344285,-0.0372750870
1085,0.0025644773,-0.0398392964,-0.0372748191
1086,0.0025696197,-0.0398457869,-0.0372761673
1087,0.0025747685,-0.0398503501,-0.0372755815
1088,0.0025799238,-0.0398558367,-0.0372759129
1089,0.0025850855,-0.0398609358,-0.0372758503
1090,0.0025902536,-0.0398659953,-0.0372757416
1091,0.0025954282,-0.0398713918,-0.0372759636
1092,0.0026006092,-0.0398765918,-0.0372759827
1093,0.0026057966,-0.0398814870,-0.0372756904
1094,0.0026109906,-0.0398875665,-0.0372765760
1095,0.0026161911,-0.0398925329,-0.0372763418
1096,0.0026213980,-0.0398978619,-0.0372764639
1097,0.0026266115,-0.0399031875,-0.0372765760
1098,0.0026318313,-0.0399080013,-0.0372761700
1099,0.0026370576,-0.0399133197,-0.0372762620
1100,0.0026422904,-0.0399182819,-0.0372759915
1101,0.0026475296,-0.0399238661,-0.0372763365
1102,0.0026527753,-0.0399290054,-0.0372762301
1103,0.0026580275,-0.0399338907,-0.0372758632
1104,0.0026632861,-0.0399392452,-0.0372759590
1105,0.0026685513,-0.0399445310,-0.0372759797
1106,0.0026738229,-0.0399495417,-0.0372757188
1107,0.0026791010,-0.0399546758,-0.0372755748
1108,0.0026843856,-0.0399603043,-0.0372759187
1109,0.0026896769,-0.0399654069,-0.0372757300
1110,0.0026949745,-0.0399704569,-0.0372754823
1111,0.0027002787,-0.0399759116,-0.0372756329
1112,0.0027055895,-0.0399812041,-0.0372756146
1113,0.0027109067,-0.0399860037,-0.0372750970
1114,0.0027162304,-0.0399912399,-0.0372750095
1115,0.0027215608,-0.0399968732,-0.0372753125
1116,0.0027268977,-0.0400021808,-0.0372752831
1117,0.0027322412,-0.0400078812,-0.0372756400
1118,0.0027375914,-0.0400132405,-0.0372756491
1119,0.0027429482,-0.0400188040,-0.0372758558
1120,0.0027483117,-0.0400246511,-0.0372763394
1121,0.0027536818,-0.0400301601,-0.0372764783
1122,0.0027590585,-0.0400354415,-0.0372763830
1123,0.0027644419,-0.0400410797,-0.0372766378
1124,0.0027698318,-0.0400460162,-0.0372761844
1125,0.0027752283,-0.0400511960,-0.0372759677
1126,0.0027806314,-0.0400566095,-0.0372759781
1127,0.0027860411,-0.0400617967,-0.0372757556
1128,0.0027914574,-0.0400668913,-0.0372754339
1129,0.0027968802,-0.0400723499,-0.0372754697
1130,0.0028023097,-0.0400776807,-0.0372753710
1131,0.0028077458,-0.0400831127,-0.0372753669
1132,0.0028131886,-0.0400885452,-0.0372753566
1133,0.0028186380,-0.0400935588,-0.0372749207
1134,0.0028240942,-0.0401000142,-0.0372759201
1135,0.0028295571,-0.0401052054,-0.0372756483
1136,0.0028350267,-0.0401106629,-0.0372756362
1137,0.0028405031,-0.0401174399,-0.0372769368
1138,0.0028459863,-0.0401226602,-0.0372766739
1139,0.0028514762,-0.0401274880,-0.0372760118
1140,0.0028569726,-0.0401327800,-0.0372758074
1141,0.0028624758,-0.0401383888,-0.0372759130
1142,0.0028679857,-0.0401439495,-0.0372759638
1143,0.0028735022,-0.0401492463,-0.0372757441
1144,0.0028790255,-0.0401547658,-0.0372757403
1145,0.0028845554,-0.0401597998,-0.0372752443
1146,0.0028900920,-0.0401650886,-0.0372749966
1147,0.0028956353,-0.0401707902,-0.0372751549
1148,0.0029011855,-0.0401768640,-0.0372756785
1149,0.0029067425,-0.0401824929,-0.0372757504
1150,0.0029123064,-0.0401889438,-0.0372766374
1151,0.0029178772,-0.0401943763,-0.0372764991
1152,0.0029234548,-0.0401999755,-0.0372765207
1153,0.0029290390,-0.0402049024,-0.0372758634
1154,0.0029346299,-0.0402101969,-0.0372755670
1155,0.0029402276,-0.0402159024,-0.0372756748
1156,0.0029458321,-0.0402214813,-0.0372756493
1157,0.0029514433,-0.0402266794,-0.0372752361
1158,0.0029570612,-0.0402323216,-0.0372752604
1159,0.0029626860,-0.0402375981,-0.0372749121
1160,0.0029683177,-0.0402441797,-0.0372758620
1161,0.0029739564,-0.0402497106,-0.0372757543
1162,0.0029796019,-0.0402561608,-0.0372765589
1163,0.0029852545,-0.0402616013,-0.0372763469
1164,0.0029909138,-0.0402673662,-0.0372764525
1165,0.0029965799,-0.0402725938,-0.0372760138
1166,0.0030022528,-0.0402778013,-0.0372755484
1167,0.0030079324,-0.0402832019,-0.0372752694
1168,0.0030136189,-0.0402886102,-0.0372749913
1169,0.0030193122,-0.0402941483,-0.0372748361
1170,0.0030250124,-0.0403004611,-0.0372754487
1171,0.0030307196,-0.0403061515,-0.0372754319
1172,0.0030364339,-0.0403128560,-0.0372764222
1173,0.0030421551,-0.0403181816,-0.0372760265
1174,0.0030478831,-0.0403236960,-0.0372758128
1175,0.0030536181,-0.0403294076,-0.0372757895
1176,0.0030593599,-0.0403345750,-0.0372752152
1177,0.0030651085,-0.0403403895,-0.0372752810
1178,0.0030708640,-0.0403458106,-0.0372749465
1179,0.0030766266,-0.0403522361,-0.0372756096
1180,0.0030823962,-0.0403577627,-0.0372753666
1181,0.0030881728,-0.0403644378,-0.0372762651
1182,0.0030939564,-0.0403698634,-0.0372759070
1183,0.0030997471,-0.0403760955,-0.0372763484
1184,0.0031055446,-0.0403806839,-0.0372751393
1185,0.0031113490,-0.0403869983,-0.0372756492
1186,0.0031171605,-0.0403926776,-0.0372755171
1187,0.0031229788,-0.0403980791,-0.0372751003
1188,0.0031288043,-0.0404046352,-0.0372758310
1189,0.0031346369,-0.0404113828,-0.0372767459
1190,0.0031404767,-0.0404166834,-0.0372762067
1191,0.0031463233,-0.0404224402,-0.0372761168
1192,0.0031521769,-0.0404279134,-0.0372757365
1193,0.0031580375,-0.0404335372,-0.0372754997
1194,0.0031639050,-0.0404389611,-0.0372750561
1195,0.0031697796,-0.0404456748,-0.0372758951
1196,0.0031756614,-0.0404510918,-0.0372754304
1197,0.0031815502,-0.0404578510,-0.0372763007
1198,0.0031874463,-0.0404638322,-0.0372763860
1199,0.0031933494,-0.0404694649,-0.0372761155
1200,0.0031992595,-0.0404749913,-0.0372757318
1201,0.0032051766,-0.0404806212,-0.0372754446
1202,0.0032111007,-0.0404860086,-0.0372749079
1203,0.0032170319,-0.0404929598,-0.0372759279
1204,0.0032229704,-0.0404993954,-0.0372764250
1205,0.0032289162,-0.0405054707,-0.0372765545
1206,0.0032348691,-0.0405111131,-0.0372762441
1207,0.0032408290,-0.0405170051,-0.0372761761
1208,0.0032467959,-0.0405221965,-0.0372754006
1209,0.0032527698,-0.0405279455,-0.0372751756
1210,0.0032587510,-0.0405346200,-0.0372758691
1211,0.0032647394,-0.0405409603,-0.0372762209
1212,0.0032707352,-0.0405472165,-0.0372764813
1213,0.0032767381,-0.0405530872,-0.0372763491
1214,0.0032827480,-0.0405582665,-0.0372755185
1215,0.0032887650,-0.0405640815,-0.0372753166
1216,0.0032947890,-0.0405698165,-0.0372750275
1217,0.0033008204,-0.0405768188,-0.0372759984
1218,0.0033068592,-0.0405833178,-0.0372764586
1219,0.0033129053,-0.0405890772,-0.0372761719
1220,0.0033189584,-0.0405946229,-0.0372756645
1221,0.0033250186,-0.0406005378,-0.0372755191
1222,0.0033310860,-0.0406065773,-0.0372754912
1223,0.0033371608,-0.0406131701,-0.0372760093
1224,0.0033432430,-0.0406198153,-0.0372765724
1225,0.0033493324,-0.0406256406,-0.0372763083
1226,0.0033554289,-0.0406309396,-0.0372755107
1227,0.0033615327,-0.0406373091,-0.0372757764
1228,0.0033676436,-0.0406429245,-0.0372752809
1229,0.0033737619,-0.0406494263,-0.0372756644
1230,0.0033798876,-0.0406566308,-0.0372767432
1231,0.0033860208,-0.0406624894,-0.0372764686
1232,0.0033921611,-0.0406677822,-0.0372756211
1233,0.0033983085,-0.0406738299,-0.0372755213
1234,0.0034044632,-0.0406798670,-0.0372754038
1235,0.0034106253,-0.0406863515,-0.0372757262
1236,0.0034167949,-0.0406930694,-0.0372762745
1237,0.0034229718,-0.0406990445,-0.0372760727
1238,0.0034291560,-0.0407049161,-0.0372757601
1239,0.0034353474,-0.0407107733,-0.0372754259
1240,0.0034415461,-0.0407164321,-0.0372748861
1241,0.0034477521,-0.0407236938,-0.0372759416
1242,0.0034539658,-0.0407302290,-0.0372762632
1243,0.0034601868,-0.0407361340,-0.0372759472
1244,0.0034664152,-0.0407419644,-0.0372755493
1245,0.0034726508,-0.0407478617,-0.0372752109
1246,0.0034788938,-0.0407546390,-0.0372757452
1247,0.0034851444,-0.0407617690,-0.0372766245
1248,0.0034914026,-0.0407673400,-0.0372759374
1249,0.0034976679,-0.0407732628,-0.0372755949
1250,0.0035039406,-0.0407794383,-0.0372754977
1251,0.0035102206,-0.0407850389,-0.0372748183
1252,0.0035165080,-0.0407916780,-0.0372751700
1253,0.0035228031,-0.0407993678,-0.0372765647
1254,0.0035291057,-0.0408047593,-0.0372756536
1255,0.0035354157,-0.0408111258,-0.0372757101
1256,0.0035417330,-0.0408167043,-0.0372749712
1257,0.0035480579,-0.0408238896,-0.0372758317
1258,0.0035543904,-0.0408307424,-0.0372763519
1259,0.0035607305,-0.0408366344,-0.0372759040
1260,0.0035670779,-0.0408427081,-0.0372756303
1261,0.0035734326,-0.0408484229,-0.0372749903
1262,0.0035797949,-0.0408553972,-0.0372756023
1263,0.0035861649,-0.0408624368,-0.0372762719
1264,0.0035925424,-0.0408681803,-0.0372756379
1265,0.0035989274,-0.0408745067,-0.0372755792
1266,0.0036053198,-0.0408804523,-0.0372751325
1267,0.0036117198,-0.0408874264,-0.0372757066
1268,0.0036181275,-0.0408943157,-0.0372761881
1269,0.0036245428,-0.0409001962,-0.0372756534
1270,0.0036309655,-0.0409064768,-0.0372755114
1271,0.0036373959,-0.0409135288,-0.0372761330
1272,0.0036438340,-0.0409205259,-0.0372766918
1273,0.0036502797,-0.0409258885,-0.0372756088
1274,0.0036567329,-0.0409324555,-0.0372757226
1275,0.0036631936,-0.0409388104,-0.0372756168
1276,0.0036696619,-0.0409456966,-0.0372760346
1277,0.0036761380,-0.0409521778,-0.0372760398
1278,0.0036826217,-0.0409588314,-0.0372762097
1279,0.0036891130,-0.0409645229,-0.0372754099
1280,0.0036956117,-0.0409706170,-0.0372750053
1281,0.0037021181,-0.0409775164,-0.0372753983
1282,0.0037086323,-0.0409849856,-0.0372763533
1283,0.0037151543,-0.0409910681,-0.0372759138
1284,0.0037216839,-0.0409968481,-0.0372751642
1285,0.0037282210,-0.0410038999,-0.0372756788
1286,0.0037347660,-0.0410113105,-0.0372765445
1287,0.0037413188,-0.0410175310,-0.0372762121
1288,0.0037478792,-0.0410232362,-0.0372753570
1289,0.0037544473,-0.0410307439,-0.0372762966
1290,0.0037610232,-0.0410372833,-0.0372762601
1291,0.0037676069,-0.0410438511,-0.0372762442
1292,0.0037741981,-0.0410495681,-0.0372753700
1293,0.0037807969,-0.0410560011,-0.0372752041
1294,0.0037874035,-0.0410628024,-0.0372753989
1295,0.0037940180,-0.0410702801,-0.0372762621
1296,0.0038006404,-0.0410765461,-0.0372759057
1297,0.0038072703,-0.0410822180,-0.0372749476
1298,0.0038139081,-0.0410898363,-0.0372759282
1299,0.0038205537,-0.0410965449,-0.0372759912
1300,0.0038272072,-0.0411032571,-0.0372760499
1301,0.0038338684,-0.0411092307,-0.0372753624
1302,0.0038405373,-0.0411162946,-0.0372757572
1303,0.0038472143,-0.0411237676,-0.0372765534
1304,0.0038538990,-0.0411294832,-0.0372755841
1305,0.0038605914,-0.0411357412,-0.0372751498
1306,0.0038672917,-0.0411432733,-0.0372759816
1307,0.0038740001,-0.0411508665,-0.0372768663
1308,0.0038807164,-0.0411563977,-0.0372756813
1309,0.0038874403,-0.0411629390,-0.0372754987
1310,0.0038941721,-0.0411698649,-0.0372756928
1311,0.0039009118,-0.0411771309,-0.0372762190
1312,0.0039076596,-0.0411834990,-0.0372758394
1313,0.0039144150,-0.0411895805,-0.0372751655
1314,0.0039211783,-0.0411970082,-0.0372758299
1315,0.0039279496,-0.0412038083,-0.0372758587
1316,0.0039347289,-0.0412101063,-0.0372753775
1317,0.0039415159,-0.0412167484,-0.0372752325
1318,0.0039483109,-0.0412239787,-0.0372756677
1319,0.0039551141,-0.0412315415,-0.0372764274
1320,0.0039619252,-0.0412375027,-0.0372755774
1321,0.0039687441,-0.0412439245,-0.0372751804
1322,0.0039755711,-0.0412518718,-0.0372763007
1323,0.0039824061,-0.0412581471,-0.0372757410
1324,0.0039892490,-0.0412646955,-0.0372754464
1325,0.0039961000,-0.0412723370,-0.0372762370
1326,0.0040029591,-0.0412796836,-0.0372767245
1327,0.0040098262,-0.0412853548,-0.0372755285
1328,0.0040167011,-0.0412920156,-0.0372753145
1329,0.0040235840,-0.0412988131,-0.0372752291
1330,0.0040304750,-0.0413064409,-0.0372759659
1331,0.0040373741,-0.0413131220,-0.0372757479
1332,0.0040442811,-0.0413194340,-0.0372751529
1333,0.0040511964,-0.0413278595,-0.0372766631
1334,0.0040581199,-0.0413343438,-0.0372762239
1335,0.0040650512,-0.0413403191,-0.0372752679
1336,0.0040719906,-0.0413477299,-0.0372757393
1337,0.0040789383,-0.0413553579,-0.0372764197
1338,0.0040858939,-0.0413611859,-0.0372752919
1339,0.0040928575,-0.0413677018,-0.0372748443
1340,0.0040998293,-0.0413764475,-0.0372766182
1341,0.0041068095,-0.0413826468,-0.0372758372
1342,0.0041137977,-0.0413892012,-0.0372754035
1343,0.0041207939,-0.0413967206,-0.0372759266
1344,0.0041277986,-0.0414042218,-0.0372764232
1345,0.0041348113,-0.0414102256,-0.0372754144
1346,0.0041418319,-0.0414168917,-0.0372750598
1347,0.0041488609,-0.0414255228,-0.0372766620
1348,0.0041558982,-0.0414318153,-0.0372759171
1349,0.0041629435,-0.0414379552,-0.0372750118
1350,0.0041699968,-0.0414453579,-0.0372753611
1351,0.0041770585,-0.0414529863,-0.0372759278
1352,0.0041841285,-0.0414592663,-0.0372751378
1353,0.0041912066,-0.0414670181,-0.0372758115
1354,0.0041982932,-0.0414745393,-0.0372762461
1355,0.0042053880,-0.0414811391,-0.0372757511
1356,0.0042124909,-0.0414876185,-0.0372751276
1357,0.0042196022,-0.0414960917,-0.0372764895
1358,0.0042267219,-0.0415028803,-0.0372761584
1359,0.0042338498,-0.0415094103,-0.0372755606
1360,0.0042409858,-0.0415169313,-0.0372759455
1361,0.0042481303,-0.0415239855,-0.0372758552
1362,0.0042552829,-0.0415305420,-0.0372752591
1363,0.0042624438,-0.0415382730,-0.0372758291
1364,0.0042696132,-0.0415456607,-0.0372760475
1365,0.0042767909,-0.0415523712,-0.0372755803
1366,0.0042839770,-0.0415598403,-0.0372758634
1367,0.0042911715,-0.0415676935,-0.0372765220
1368,0.0042983743,-0.0415739050,-0.0372755307
1369,0.0043055854,-0.0415810043,-0.0372754190
1370,0.0043128048,-0.0415888262,-0.0372760214
1371,0.0043200327,-0.0415953283,-0.0372752956
1372,0.0043272688,-0.0416027711,-0.0372755022
1373,0.0043345135,-0.0416103640,-0.0372758505
1374,0.0043417666,-0.0416172227,-0.0372754561
1375,0.0043490281,-0.0416249331,-0.0372759050
1376,0.0043562981,-0.0416323883,-0.0372760902
1377,0.0043635765,-0.0416390109,-0.0372754344
1378,0.0043708631,-0.0416456306,-0.0372747675
1379,0.0043781583,-0.0416545527,-0.0372763944
1380,0.0043854621,-0.0416607348,-0.0372752727
1381,0.0043927741,-0.0416673912,-0.0372746171
1382,0.0044000947,-0.0416763768,-0.0372762821
1383,0.0044074239,-0.0416829451,-0.0372755212
1384,0.0044147614,-0.0416896481,-0.0372748867
1385,0.0044221075,-0.0416980172,-0.0372759096
1386,0.0044294623,-0.0417048177,-0.0372753555
1387,0.0044368255,-0.0417124189,-0.0372755934
1388,0.0044441973,-0.0417202970,-0.0372760997
1389,0.0044515777,-0.0417267077,-0.0372751301
1390,0.0044589666,-0.0417350558,-0.0372760892
1391,0.0044663643,-0.0417429147,-0.0372765504
1392,0.0044737704,-0.0417493809,-0.0372756105
1393,0.0044811851,-0.0417569883,-0.0372758032
1394,0.0044886085,-0.0417647953,-0.0372761868
1395,0.0044960404,-0.0417714132,-0.0372753729
1396,0.0045034808,-0.0417791519,-0.0372756712
1397,0.0045109300,-0.0417873784,-0.0372764484
1398,0.0045183878,-0.0417941153,-0.0372757274
1399,0.0045258543,-0.0418017193,-0.0372758651
1400,0.0045333294,-0.0418095970,-0.0372762676
1401,0.0045408131,-0.0418164116,-0.0372755985
1402,0.0045483054,-0.0418238245,-0.0372755191
1403,0.0045558064,-0.0418316867,-0.0372758802
1404,0.0045633160,-0.0418383939,-0.0372750779
1405,0.0045708344,-0.0418473469,-0.0372765125
1406,0.0045783616,-0.0418536794,-0.0372753179
1407,0.0045858973,-0.0418614913,-0.0372755940
1408,0.0045934419,-0.0418694616,-0.0372760197
1409,0.0046009952,-0.0418766087,-0.0372756136
1410,0.0046085572,-0.0418845186,-0.0372759614
1411,0.0046161280,-0.0418920675,-0.0372759395
1412,0.0046237076,-0.0418993090,-0.0372756014
1413,0.0046312959,-0.0419071822,-0.0372758863
1414,0.0046388931,-0.0419148814,-0.0372759883
1415,0.0046464989,-0.0419215276,-0.0372750287
1416,0.0046541136,-0.0419303640,-0.0372762504
1417,0.0046617371,-0.0419371953,-0.0372754582
1418,0.0046693694,-0.0419451377,-0.0372757683
1419,0.0046770105,-0.0419527969,-0.0372757864
1420,0.0046846604,-0.0419600158,-0.0372753554
1421,0.0046923192,-0.0419677987,-0.0372754796
1422,0.0046999869,-0.0419762455,-0.0372762586
1423,0.0047076637,-0.0419842153,-0.0372765516
1424,0.0047153494,-0.0419916183,-0.0372762689
1425,0.0047230438,-0.0419984180,-0.0372753742
1426,0.0047307470,-0.0420064418,-0.0372756948
1427,0.0047384591,-0.0420141874,-0.0372757283
1428,0.0047461799,-0.0420210592,-0.0372748793
1429,0.0047539099,-0.0420301848,-0.0372762749
1430,0.0047616489,-0.0420371472,-0.0372754983
1431,0.0047693968,-0.0420457904,-0.0372763936
1432,0.0047771538,-0.0420535154,-0.0372763616
1433,0.0047849196,-0.0420603572,-0.0372754376
1434,0.0047926942,-0.0420679775,-0.0372752834
1435,0.0048004777,-0.0420758396,-0.0372753619
1436,0.0048082704,-0.0420843098,-0.0372760393
1437,0.0048160723,-0.0420922407,-0.0372761684
1438,0.0048238831,-0.0420994253,-0.0372755423
1439,0.0048317028,-0.0421071637,-0.0372754609
1440,0.0048395316,-0.0421152947,-0.0372757631
1441,0.0048473694,-0.0421231201,-0.0372757507
1442,0.0048552163,-0.0421308739,-0.0372756576
1443,0.0048630722,-0.0421382553,-0.0372751832
1444,0.0048709371,-0.0421466875,-0.0372757504
1445,0.0048788113,-0.0421548290,-0.0372760177
1446,0.0048866946,-0.0421627141,-0.0372760195
1447,0.0048945870,-0.0421705487,-0.0372759617
1448,0.0049024883,-0.0421772983,-0.0372748100
1449,0.0049103987,-0.0421866347,-0.0372762360
1450,0.0049183186,-0.0421941647,-0.0372758461
1451,0.0049262475,-0.0422022922,-0.0372760447
1452,0.0049341855,-0.0422100826,-0.0372758971
1453,0.0049421325,-0.0422166389,-0.0372745064
1454,0.0049500887,-0.0422263662,-0.0372762775
1455,0.0049580544,-0.0422337679,-0.0372757135
1456,0.0049660291,-0.0422418558,-0.0372758267
1457,0.0049740130,-0.0422496385,-0.0372756255
1458,0.0049820061,-0.0422575811,-0.0372755750
1459,0.0049900085,-0.0422660818,-0.0372760732
1460,0.0049980202,-0.0422735749,-0.0372755547
1461,0.0050060411,-0.0422826035,-0.0372765623
1462,0.0050140713,-0.0422894911,-0.0372754197
1463,0.0050221105,-0.0422972349,-0.0372751244
1464,0.0050301591,-0.0423058933,-0.0372757342
1465,0.0050382171,-0.0423144324,-0.0372762153
1466,0.0050462845,-0.0423224655,-0.0372761810
1467,0.0050543610,-0.0423292411,-0.0372748801
1468,0.0050624469,-0.0423388975,-0.0372764506
1469,0.0050705422,-0.0423463191,-0.0372757769
1470,0.0050786468,-0.0423542265,-0.0372755797
1471,0.0050867606,-0.0423623711,-0.0372756105
1472,0.0050948839,-0.0423711456,-0.0372762617
1473,0.0051030168,-0.0423796267,-0.0372766100
1474,0.0051111588,-0.0423863024,-0.0372751436
1475,0.0051193102,-0.0423954176,-0.0372761074
1476,0.0051274709,-0.0424023767,-0.0372749058
1477,0.0051356410,-0.0424116531,-0.0372760121
1478,0.0051438206,-0.0424194031,-0.0372755825
1479,0.0051520097,-0.0424274651,-0.0372754554
1480,0.0051602082,-0.0424361266,-0.0372759184
1481,0.0051684163,-0.0424446944,-0.0372762781
1482,0.0051766340,-0.0424527687,-0.0372761347
1483,0.0051848608,-0.0424596285,-0.0372747677
1484,0.0051930971,-0.0424694687,-0.0372763715
1485,0.0052013431,-0.0424768283,-0.0372754852
1486,0.0052095987,-0.0424858875,-0.0372762889
1487,0.0052178636,-0.0424929531,-0.0372750895
1488,0.0052261380,-0.0425022893,-0.0372761513
1489,0.0052344221,-0.0425102563,-0.0372758342
1490,0.0052427157,-0.0425181365,-0.0372754208
1491,0.0052510188,-0.0425268584,-0.0372758395
1492,0.0052593317,-0.0425355122,-0.0372761805
1493,0.0052676541,-0.0425437480,-0.0372760939
1494,0.0052759859,-0.0425505457,-0.0372745599
1495,0.0052843273,-0.0425610632,-0.0372767358
1496,0.0052926786,-0.0425679233,-0.0372752448
1497,0.0053010393,-0.0425768395,-0.0372758003
1498,0.0053094097,-0.0425853203,-0.0372759106
1499,0.0053177900,-0.0425945736,-0.0372767835
1500,0.0053261798,-0.0426014951,-0.0372753153
1501,0.0053345791,-0.0426102724,-0.0372756933
1502,0.0053429881,-0.0426185662,-0.0372755780
1503,0.0053514069,-0.0426268175,-0.0372754106
1504,0.0053598353,-0.0426356293,-0.0372757940
1505,0.0053682736,-0.0426441770,-0.0372759034
1506,0.0053767215,-0.0426524300,-0.0372757085
1507,0.0053851792,-0.0426610995,-0.0372759203
1508,0.0053936468,-0.0426694658,-0.0372758190
1509,0.0054021240,-0.0426777462,-0.0372756222
1510,0.0054106111,-0.0426866723,-0.0372760612
1511,0.0054191080,-0.0426953535,-0.0372762455
1512,0.0054276147,-0.0427035698,-0.0372759552
1513,0.0054361312,-0.0427123212,-0.0372761901
1514,0.0054446575,-0.0427207616,-0.0372761041
1515,0.0054531935,-0.0427278480,-0.0372746545
1516,0.0054617393,-0.0427383639,-0.0372766246
1517,0.0054702951,-0.0427454244,-0.0372751293
1518,0.0054788606,-0.0427548046,-0.0372759440
1519,0.0054874361,-0.0427631459,-0.0372757098
1520,0.0054960215,-0.0427720477,-0.0372760262
1521,0.0055046166,-0.0427791645,-0.0372745479
1522,0.0055132217,-0.0427897113,-0.0372764896
1523,0.0055218368,-0.0427967477,-0.0372749109
1524,0.0055304618,-0.0428067887,-0.0372763269
1525,0.0055390968,-0.0428144643,-0.0372753674
1526,0.0055477417,-0.0428234999,-0.0372757583
1527,0.0055563966,-0.0428320068,-0.0372756102
1528,0.0055650615,-0.0428411096,-0.0372760481
1529,0.0055737364,-0.0428488675,-0.0372751312
1530,0.0055824213,-0.0428589332,-0.0372765119
1531,0.0055911162,-0.0428658639,-0.0372747477
1532,0.0055998211,-0.0428761964,-0.0372763753
1533,0.0056085361,-0.0428835898,-0.0372750537
1534,0.0056172611,-0.0428931915,-0.0372759304
1535,0.0056259964,-0.0429022246,-0.0372762282
1536,0.0056347417,-0.0429104450,-0.0372757033
1537,0.0056434971,-0.0429200602,-0.0372765631
1538,0.0056522626,-0.0429283153,-0.0372760527
1539,0.0056610382,-0.0429368630,-0.0372758248
1540,0.0056698239,-0.0429457695,-0.0372759456
1541,0.0056786196,-0.0429541171,-0.0372754975
1542,0.0056874255,-0.0429634328,-0.0372760073
1543,0.0056962416,-0.0429717996,-0.0372755581
1544,0.0057050678,-0.0429813922,-0.0372763244
1545,0.0057139043,-0.0429895370,-0.0372756326
1546,0.0057227508,-0.0429981118,-0.0372753609
1547,0.0057316076,-0.0430071059,-0.0372754983
1548,0.0057404744,-0.0430154644,-0.0372749900
1549,0.0057493515,-0.0430248628,-0.0372755113
1550,0.0057582388,-0.0430333741,-0.0372751353
1551,0.0057671367,-0.0430440235,-0.0372768868
1552,0.0057760447,-0.0430510166,-0.0372749718
1553,0.0057849631,-0.0430616511,-0.0372766880
1554,0.0057938917,-0.0430688541,-0.0372749624
1555,0.0058028307,-0.0430794515,-0.0372766209
1556,0.0058117801,-0.0430879158,-0.0372761357
1557,0.0058207398,-0.0430967374,-0.0372759977
